,dice,RVE,Sens,Spec,HD95
Liverarterial_001.nii.gz,0.8204132164011478,0.7150355312541675,0.0,0.9998905815784213,4.5604777
Liverarterial_002.nii.gz,1.4032832556406136,0.7831522654956732,0.0,0.9999721894190023,9.0
Liverarterial_003.nii.gz,0.7667648020935596,0.8939942112879884,0.0,1.0,3.0
Liverarterial_004.nii.gz,0.6752873563218449,0.8987341772151899,0.0,0.9999990691545476,2.4142137
Liverarterial_005.nii.gz,1.2176182191997469,0.5187399974847295,0.0,0.9993880886408212,22.727919
Liverarterial_006.nii.gz,0.6392893881749757,0.7842339302020884,0.0,0.9999656083990335,4.8284273
Liverarterial_007.nii.gz,1.3963648790579437,0.7722972526613242,0.0,0.9948338186233812,55.0
Liverarterial_008.nii.gz,0.5096359743040948,0.9288990825688074,0.0,0.9999998296984859,2.732051
Liverarterial_009.nii.gz,0.7187871581450695,0.7758369723435226,0.0,0.9999976128974101,2.828427
Liverarterial_010.nii.gz,0.8363721730964877,0.7322420634920634,0.0,0.9999990802275912,2.828427
Liverarterial_011.nii.gz,0.9789333095895291,0.6673548815795719,0.0,0.9999891030952578,5.2426405
Liverarterial_012.nii.gz,1.0788409573130227,0.49146787562750516,0.0,0.9997883897023342,7.1462646
Liverarterial_013.nii.gz,0.926145396733633,0.8620065789473684,0.0,0.9999992513821062,2.4142137
Liverarterial_014.nii.gz,0.4401294498382179,0.9417808219178082,0.0,1.0,2.4142137
Liverarterial_015.nii.gz,0.8853034547152199,0.875,0.0,0.9999998216410787,3.0
Liverarterial_016.nii.gz,0.323703013358191,0.9562256809338522,0.0,0.9999995628120774,4.732051
Liverarterial_017.nii.gz,0.7310027213732524,0.764355923435075,0.0,0.9999992312779411,3.4142137
Liverarterial_018.nii.gz,0.6807017543859711,0.7584704743465635,0.0,0.9999950325384627,2.4142137
Liverarterial_019.nii.gz,0.37041378501934863,0.9499015263417036,0.0,0.9999996185056428,4.4142137
Liverarterial_020.nii.gz,0.6070671124051921,0.4738314680710994,0.4632433618608734,0.9999829487480695,5.4142137
Liverarterial_021.nii.gz,0.6376811594203016,0.7842599843382929,0.0,0.9999990071035183,2.828427
Liverarterial_022.nii.gz,0.6422819443096959,0.5025424960046492,0.4808949585936365,0.9999976936028697,4.464102
Liverarterial_023.nii.gz,0.5139500734214569,0.9309262166405023,0.0,0.9999999825611902,2.4142137
Liverarterial_024.nii.gz,0.8073028582254375,0.7356421101732843,0.0,0.999940904273792,10.560477
Liverarterial_025.nii.gz,0.7997628575663268,0.7247353830645161,0.0,0.9999897613126684,5.0
Liverarterial_026.nii.gz,1.1161236424394316,0.5722276264591439,0.0,0.9999486348324916,8.0
Liverarterial_027.nii.gz,0.8301085802922702,0.718723849372385,0.0,0.9999957512274906,3.828427
